unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Cream,Gel,Liquid,Lotion,Sheet,Spray,Wipe,20s,30s,40s,50+,Under20
SULWHASOO-Concentrated Ginseng Renewing Water EX,4.3,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
SEPHORA COLLECTION-Clarifying Toner With 5% Niacinamide & Zinc,4.4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
OLE HENRIKSEN-Glow2OH™ Dark Spot Toner,4.2,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
ESTÉE LAUDER-Soft Clean Infusion Hydrating Essence Lotion with Amino Acid + Waterlily,3.8,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
MAC COSMETICS-Lightful C³ Radiant Hydration Skin Renewal Watery Lotion,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1
SHISEIDO-Revitalizing Treatment Softener Lotion,5.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
TATCHA-The Texture Tonic,4.7,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
ESTÉE LAUDER-Micro Essence Skin Activating Treatment Lotion Fresh with Sakura Ferment,4.4,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
LA MER-The Tonic,4.2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
MARIO BADESCU-Aloe Vera Toner,3.9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
FRESH-Kombucha Facial Treatment Essence Oamul Lu (Limited Edition),5.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
FARMACY-Deep Sweep 2% BHA Pore Refining Toner,4.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1
SEPHORA COLLECTION-Vitamin Tonic Lotion,4.4,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
NUDESTIX-5% Citrus Fruit & Glycolic Glow Toner,5.0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
SEPHORA COLLECTION-Gentle PH Balancing Toner,4.1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
DERMALOGICA-Multi-Active Toner,4.5,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
CLE DE PEAU-Hydro-Clarifying Lotion,4.2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
GLAMGLOW-SUPERTONER ™ Exfoliating Pore Clarifying Acid Solution,4.3,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
ESTÉE LAUDER-Nutritious Super-Pomegranate Radiant Energy Lotion Light,5.0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
WEI-Orchid Waterflow Balancing Lotion Toner,4.3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
GIVENCHY-Skin Perfecto Skin-Glow Priming Lotion,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
DERMALOGICA CLEAR START-Micro-Pore Mist,3.9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1
LA MER-The Moisturizing Matte Lotion,4.3,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
ESTÉE LAUDER-Revitalizing Supreme + Youth Power Soft Milky Lotion,4.3,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
AMUSE-Phytoncica™ LHA Reboot Toner,4.3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
PHILOSOPHY-Microdelivery Resurfacing Solution,4.0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
