pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id
https://www.sephora.sg/products/laura-mercier-soothing-eye-makeup-remover,LAURA MERCIER,Soothing Eye Makeup Remover,45.0,,,SEPHORA EXCLUSIVE,LAURA MERCIER-Soothing Eye Makeup Remover
https://www.sephora.sg/products/drunk-elephant-e-rase-milki-micellar-water-midi,DRUNK ELEPHANT,E-Rase™ Milki Micellar Water Midi,20.0,4.0,5.0,SEPHORA EXCLUSIVE,DRUNK ELEPHANT-E-Rase™ Milki Micellar Water Midi
https://www.sephora.sg/products/lancome-galateis-douceur,LANCÔME,Galateis Douceur,72.0,4.5,14.0,0,LANCÔME-Galateis Douceur
https://www.sephora.sg/products/lab-series-daily-rescue-gel-cleanser,LAB SERIES,Daily Rescue Gel Cleanser,45.0,,,0,LAB SERIES-Daily Rescue Gel Cleanser
https://www.sephora.sg/products/clinique-take-the-day-off-cleansing-oil-200ml,CLINIQUE,Take The Day Off Cleansing Oil,60.0,4.5,59.0,0,CLINIQUE-Take The Day Off Cleansing Oil
https://www.sephora.sg/products/sephora-collection-original-cleansing-face-wipes-mini/v/coconut-water,SEPHORA COLLECTION,Original Cleansing Face Wipes (Mini),6.0,4.2,230.0,SEPHORA EXCLUSIVE,SEPHORA COLLECTION-Original Cleansing Face Wipes (Mini)
https://www.sephora.sg/products/jack-black-deep-dive-glycolic-facial-cleanser,JACK BLACK,Deep Dive™ Glycolic Facial Cleanser,39.0,4.6,277.0,SEPHORA EXCLUSIVE,JACK BLACK-Deep Dive™ Glycolic Facial Cleanser
https://www.sephora.sg/products/sephora-collection-men-exfoliating-cleansing-gel,SEPHORA COLLECTION,Men Exfoliating Cleansing Gel,22.0,4.4,17.0,SEPHORA EXCLUSIVE,SEPHORA COLLECTION-Men Exfoliating Cleansing Gel
https://www.sephora.sg/products/nudestix-gentle-hyra-gel-face-cleanser,NUDESTIX,Gentle Hyra-Gel Face Cleanser,28.0,4.1,8.0,SEPHORA EXCLUSIVE,NUDESTIX-Gentle Hyra-Gel Face Cleanser
https://www.sephora.sg/products/sephora-collection-all-over-face-and-body-solid-cleanser/v/coconut-milk,SEPHORA COLLECTION,All-Over Face & Body Solid Cleanser,10.0,4.2,156.0,SEPHORA EXCLUSIVE,SEPHORA COLLECTION-All-Over Face & Body Solid Cleanser
https://www.sephora.sg/products/kora-organics-by-miranda-kerr-turmeric-glow-foaming-cleanser,KORA ORGANICS BY MIRANDA KERR,Turmeric Glow Foaming Cleanser,62.0,4.7,258.0,0,KORA ORGANICS BY MIRANDA KERR-Turmeric Glow Foaming Cleanser
https://www.sephora.sg/products/nudestix-nudeskin-vegan-bamboo-derived-cleansing-cloths,NUDESTIX,Nudeskin Vegan Bamboo Derived Cleansing Cloths,47.0,,,0,NUDESTIX-Nudeskin Vegan Bamboo Derived Cleansing Cloths
https://www.sephora.sg/products/burts-bees-intense-hydration-cream-cleanser,BURT'S BEES,Intense Hydration Cream Cleanser,35.0,3.7,7.0,0,BURT'S BEES-Intense Hydration Cream Cleanser
https://www.sephora.sg/products/burts-bees-soap-bark-and-chamomile-deep-cleansing-cream,BURT'S BEES,Soap Bark & Chamomile Deep Cleansing Cream,28.0,3.9,21.0,0,BURT'S BEES-Soap Bark & Chamomile Deep Cleansing Cream
https://www.sephora.sg/products/bobbi-brown-soothing-cleansing-oil-duo,BOBBI BROWN,Soothing Cleansing Oil Duo,82.0,5.0,2.0,0,BOBBI BROWN-Soothing Cleansing Oil Duo
https://www.sephora.sg/products/sulwhasoo-snowise-brightening-cleansing-foam-facial-cleanser,SULWHASOO,Snowise Brightening Cleansing Foam Facial Cleanser,52.0,4.8,5.0,0,SULWHASOO-Snowise Brightening Cleansing Foam Facial Cleanser
https://www.sephora.sg/products/sand-and-sky-australian-pink-clay-deep-pore-cleanser,SAND & SKY,Australian Pink Clay - Deep Pore Cleanser,44.0,4.5,2.0,0,SAND & SKY-Australian Pink Clay - Deep Pore Cleanser
https://www.sephora.sg/products/ole-henriksen-splashing-stars-cleanser-and-scrub-duo,OLE HENRIKSEN,Splashing Stars Cleanser & Scrub Duo,44.0,4.3,33.0,SEPHORA EXCLUSIVE,OLE HENRIKSEN-Splashing Stars Cleanser & Scrub Duo
https://www.sephora.sg/products/laura-mercier-purifying-micellar-water,LAURA MERCIER,Purifying Micellar Water,55.0,,,0,LAURA MERCIER-Purifying Micellar Water
https://www.sephora.sg/products/laura-mercier-skin-essentials-collection,LAURA MERCIER,Skin Essentials Collection,110.0,5.0,2.0,0,LAURA MERCIER-Skin Essentials Collection
https://www.sephora.sg/products/bybi-beauty-crystal-clear-gel-cleanser,BYBI BEAUTY,Crystal Clear Gel Cleanser,46.0,3.3,3.0,SEPHORA EXCLUSIVE,BYBI BEAUTY-Crystal Clear Gel Cleanser
https://www.sephora.sg/products/augustinus-bader-the-cream-cleansing-gel,AUGUSTINUS BADER,The Cream Cleansing Gel,100.0,4.5,651.0,0,AUGUSTINUS BADER-The Cream Cleansing Gel
https://www.sephora.sg/products/peter-thomas-roth-beta-hydroxy-acid-2-percent-acne-wash-250ml,PETER THOMAS ROTH,Acne Clearing Wash,69.0,4.2,157.0,0,PETER THOMAS ROTH-Acne Clearing Wash
