,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Foam,Gel,Liquid,Lotion,Oil,20s,30s,40s,50+,Under20
60,4.3,KOPARI-Coconut Face Cream,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
61,4.4,IT COSMETICS-Beautiful Together Day-To-Night Skincare Duo (Christmas Limited Edition),1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
62,4.0,SEPHORA COLLECTION-Firming Night Cream,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
63,3.5,DR. DENNIS GROSS-B3Adaptive Superfoods Barrier Repair Face Cream,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
64,4.2,TARTE-Sea Drink Of H₂O Hydrating Boost Moisturizer,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
65,4.4,TALIKA-Skintelligence Hydra - Intense Hydrating Light Cream,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
66,3.7,SHISEIDO-Future Solution LX Total Regenerating Cream,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
67,4.4,LAB SERIES-Anti-Age Max LS Cream,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
68,4.6,DR.JART+-Cicapair Calming Gel Cream,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
69,3.3,ESTÉE LAUDER-Revitalizing Supreme+ Night Intensive Restorative Crème,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
70,3.8,LA MER-The Moisturising Cool Gel Cream Moisturizer,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
71,4.4,CLE DE PEAU-Intensive Fortifying Cream Refill,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
72,4.6,DERMALOGICA-Barrier Repair Moisturizer,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
