unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Gel,Liquid,LoosePowder,Lotion,Oil,Spray,20s,30s,40s,50+,Under20
DEAR DAHLIA-Skin Paradise Tone-Up Sun Cushion,4.4,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
LANCÔME-UV Expert Youth-Shield™ Milky Bright SPF50 PA++++,4.7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
ULTRA VIOLETTE-Clean Screen Sensitive Skinscreen SPF30,3.9,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SUPERGOOP!-Mineral Sheer Screen SPF 30,4.1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
DEAR DAHLIA-Skin Paradise Pure Moisture Sun Lotion,4.7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
LA MER-The SPF 50 UV Protecting Fluid,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
SUPERGOOP!-100% Mineral Sunscreen Mist SPF 30,3.2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
PETER THOMAS ROTH-Water Drench Hyaluronic Hydrating Moisturizer SPF 45,4.4,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
CLE DE PEAU-Protective Fortifying Cream Refill,4.25,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
LAB SERIES-All-In-One Power Protector SPF 50 PA+++,4.25,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
ESTÉE LAUDER-Perfectionist Pro Multi-Defense Aqua UV Gel SPF 50/PA++++,4.4,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
SULWHASOO-UV Wise Brightening Multi Protector,4.4,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
GLO SKIN BEAUTY-C-Shield Anti-Pollution Moisture Tint SPF 30,4.25,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
CLE DE PEAU-Intensive Fortifying Cream,4.4,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
ULTRA VIOLETTE-Daydream Screen SPF50 Tinted Veil,4.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
DERMALOGICA CLEAR START-Clearing Defense SPF 30,3.7,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
SUPERGOOP!-Daily Dose Vitamin C + SPF40 Serum,3.8,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
SUPERGOOP!-Zincscreen 100% Mineral Lotion SPF 40 PA+++,3.9,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
