,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Gel,Liquid,LoosePowder,Lotion,Oil,Spray,20s,30s,40s,50+,Under20
38,5.0,CLE DE PEAU-UV Protective Cream SPF 50+,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
39,3.7,SUPERGOOP!-Bright-Eyed 100% Mineral Eye Cream SPF 40 PA+++,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
40,4.3,DR. DENNIS GROSS-All-Physical Lightweight Wrinkle Defense SPF 30 PA++++,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
41,4.1,THIS WORKS-In Transit Skin Defence SPF30,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
42,4.8,SHISEIDO-Clear Stick UV Protector SPF 50+ PA++++,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
43,4.25,LAB SERIES-All-In-One Defense Lotion SPF 35 PA++++,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
44,4.7,LANEIGE-Radian-C Sun Cream SPF50+ PA++++,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
45,1.0,DERMALOGICA-Invisible Physical Defense SPF30,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
46,3.6,SUPERGOOP!-Lipscreen SPF 40,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
47,4.4,DEAR DAHLIA-Skin Paradise Tone-Up Sun Cushion,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
48,4.7,LANCÔME-UV Expert Youth-Shield™ Milky Bright SPF50 PA++++,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
49,3.9,ULTRA VIOLETTE-Clean Screen Sensitive Skinscreen SPF30,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
50,4.1,SUPERGOOP!-Mineral Sheer Screen SPF 30,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
51,4.7,DEAR DAHLIA-Skin Paradise Pure Moisture Sun Lotion,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
52,4.3,LA MER-The SPF 50 UV Protecting Fluid,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
53,3.2,SUPERGOOP!-100% Mineral Sunscreen Mist SPF 30,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
54,4.4,PETER THOMAS ROTH-Water Drench Hyaluronic Hydrating Moisturizer SPF 45,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
55,4.25,CLE DE PEAU-Protective Fortifying Cream Refill,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
56,4.25,LAB SERIES-All-In-One Power Protector SPF 50 PA+++,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
57,4.4,ESTÉE LAUDER-Perfectionist Pro Multi-Defense Aqua UV Gel SPF 50/PA++++,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
58,4.4,SULWHASOO-UV Wise Brightening Multi Protector,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
59,4.25,GLO SKIN BEAUTY-C-Shield Anti-Pollution Moisture Tint SPF 30,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
60,4.4,CLE DE PEAU-Intensive Fortifying Cream,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
61,4.0,ULTRA VIOLETTE-Daydream Screen SPF50 Tinted Veil,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
62,3.7,DERMALOGICA CLEAR START-Clearing Defense SPF 30,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
63,3.8,SUPERGOOP!-Daily Dose Vitamin C + SPF40 Serum,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
64,3.9,SUPERGOOP!-Zincscreen 100% Mineral Lotion SPF 40 PA+++,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
65,4.0,ALPHA-H-Daily Essential Moisturiser SPF 50+ with Vitamin E,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
66,4.5,DIOR-Diorsnow Ultimate UV Shield Skin-Breathable Brightening Emulsion SPF50+ PA++++,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
67,4.2,ULTRA VIOLETTE-Extreme Screen Hydrating Body & Hand Skinscreen SPF 50+,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
68,4.7,LANCÔME-UV Expert Youth-Shield™ Tone Up Milk SPF50 PA++++,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
69,2.0,SKIN INC-Pure UV Protect⁺ Face Cream SPF30 PA++,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
70,4.6,EVERYDAY HUMANS-Oh My Bod! SPF50 Body Sunscreen,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
71,4.4,TOM FORD BEAUTY-Face Protect Primer SPF 50/ PA ++++,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
72,4.25,GIVENCHY-Blanc Divin Brightening & Beautifying Protection UV Shield SPF 50+ / PA++++ Sunscreen,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
73,4.6,SK-II-Atmosphere Airy Light UV Cream SPF 50+ PA++++,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
74,4.5,LANCÔME-UV Expert Youth-Shield™ Complete SPF50 PA++++,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
75,4.2,SHISEIDO-Clear Suncare Stick SPF 50+ PA++++,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
76,3.6,DRUNK ELEPHANT-Umbra™ Sheer Physical Daily Defense Broad Spectrum Sunscreen SPF 30,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
