,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Cream,Gel,Liquid,Lotion,Sheet,Spray,Wipe,20s,30s,40s,50+,Under20
45,4.4,CLINIQUE-Clarifying Lotion 3 - Combination Oily Skin,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
46,4.1,MARIO BADESCU-Glycolic Acid Toner,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
47,4.3,PIXI-Vitamin-C Tonic,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
48,4.7,PIXI-Skintreats Clarity Tonic Clarifying Toner,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
49,4.1,TARTE-Knockout Tingling Treatment,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
50,4.2,MARIO BADESCU-Special Cucumber Lotion,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
51,4.3,KENZOKI-Youth Flow Anti-Ageing Face Toner,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
52,3.5,SHISEIDO-WASO Beauty Smart Water,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
53,4.3,SULWHASOO-Concentrated Ginseng Renewing Water EX,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
54,4.4,SEPHORA COLLECTION-Clarifying Toner With 5% Niacinamide & Zinc,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
55,4.2,OLE HENRIKSEN-Glow2OH™ Dark Spot Toner,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
