unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Gel,Liquid,Lotion,Oil,Spray,20s,30s,40s,50+,Under20
PHILOSOPHY-Hope In A Jar Smooth-Glow Multi-Tasking Moisturizer,4.7,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
FENTY SKIN-Hydra Vizor Invisible Broad Spectrum SPF 30 Sunscreen Moisturizer Refill,4.6,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
CAUDALIE-Resveratrol-Lift Firming Cashmere Cream,4.7,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
THE INKEY LIST-Vitamin C Serum,3.2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0
ORIGINS-Original Skin™ Matte Moisturizer with Willowherb,4.4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
INNISFREE-Jeju Cherry Blossom Jelly Cream,4.6,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
BIOSSANCE-Squalane + Omega Repair Cream,4.5,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
DR. DENNIS GROSS-Advanced Retinol + Ferulic Intense Wrinkle Cream,4.8,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
FRESH-Rose Deep Hydration Essentials (Christmas Limited Edition),4.5,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1
SHISEIDO-Energizing Moisturizer Extra Light Fluid,4.3,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
ORIGINS-Ginzing™ Energizing Gel Cream,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
DRUNK ELEPHANT-A-Passioni™ Retinol Skincare Cream,4.1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
IT COSMETICS-Confidence in a Cream™ Transforming Moisturizing Super Cream,4.5,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
CHARLOTTE TILBURY-Refillable Magic Cream SPF,4.2,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
FIRST AID BEAUTY-Ultra Repair Firming Collagen Cream,4.5,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
CHARLOTTE TILBURY-Charlotte's Magic Cream,4.5,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SUPERGOOP!-Superscreen Daily Moisturizer SPF 40 PA+++,3.7,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
KORA ORGANICS BY MIRANDA KERR-Turmeric Glow Moisturizer,4.5,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
SEPHORA COLLECTION-Nourishing Moisturizer Cream,4.6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SUNDAY RILEY-C.E.O. Vitamin C Rich Hydration Cream,4.4,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
GLAMGLOW-Glowstarter Mega Illuminating Moisturizer,4.1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SHISEIDO-White Lucent Brightening Gel Cream,3.5,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
